,crit_vs_sec_last_insp,prior_2p_crit_insps
40584877,1,2
40585040,0,5
40585102,1,2
40585345,4,6
40585403,0,3
40585479,2,5
40585860,1,0
40585966,2,4
40586000,0,2
40586094,1,0
40586239,1,3
40586621,1,2
40586834,1,2
40587273,2,3
40587276,0,2
40587376,1,2
40587480,2,2
40587626,0,1
40587698,1,1
40587714,0,1
40587720,1,1
40587835,1,0
40587915,2,6
40588072,1,4
40588166,2,2
40588296,1,4
40588462,2,3
40588761,2,4
40589045,2,4
40589507,0,1
40589545,3,4
40589546,1,8
40590237,4,7
40590352,0,0
40590969,1,0
40591202,1,2
40591262,2,1
40591269,0,1
40591271,2,1
40591344,1,2
